datetime,date,time,speed,fuel_level,ignition_status,speed_trend,fuel_level_trend,speed_std_error,fuel_level_std_error,speed_ci,fuel_level_ci
2023-01-01 00:00:00,2023-01-01,00:00:00,102,51.24576558819216,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 01:00:00,2023-01-01,01:00:00,92,74.16869442286655,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 02:00:00,2023-01-01,02:00:00,14,69.88458531609044,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 03:00:00,2023-01-01,03:00:00,106,40.255004359698056,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 04:00:00,2023-01-01,04:00:00,71,21.802310749408647,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 05:00:00,2023-01-01,05:00:00,20,64.50541677693295,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 06:00:00,2023-01-01,06:00:00,102,42.17039345532818,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 07:00:00,2023-01-01,07:00:00,121,13.22762111253304,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 08:00:00,2023-01-01,08:00:00,74,90.05723012363856,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 09:00:00,2023-01-01,09:00:00,87,69.12218576096544,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 10:00:00,2023-01-01,10:00:00,116,68.31838564454814,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 21:00:00,2023-01-01,21:00:00,21,26.36838026346165,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 22:00:00,2023-01-01,22:00:00,88,26.64983933708822,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-01 23:00:00,2023-01-01,23:00:00,48,73.21845784590624,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 00:00:00,2023-01-02,00:00:00,58,25.07306605615977,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 01:00:00,2023-01-02,01:00:00,14,63.30980633574475,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 02:00:00,2023-01-02,02:00:00,50,49.42738501382714,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 03:00:00,2023-01-02,03:00:00,107,57.32943781794007,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 04:00:00,2023-01-02,04:00:00,54,83.81069631782958,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 05:00:00,2023-01-02,05:00:00,63,40.43815015490243,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 07:00:00,2023-01-02,07:00:00,50,42.20360595506874,on,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
2023-01-02 08:00:00,2023-01-02,08:00:00,134,35.38713765612494,off,,,40.779171150454665,28.593022327777003,79.92570677428594,56.041293971592545
